region,threshold,minsize,variance,spatial_autocorrelation,optimization_criteria
reg,0.1,7,227.80099152692569,0.06349950177978962,1.028972680154608
reg,0.08,7,218.88384100330734,0.08325327591093667,0.9711157359383102
reg,0.09,7,224.11745752796799,0.07115899145889759,1.0128313433104177
reg,0.07,7,214.64128322290603,0.08901265770228943,1.0
reg,0.09,8,230.05960212746632,0.05312680721290918,1.12686169377347
reg,0.08,8,226.858385782685,0.06685611168200552,1.003192620599969
reg,0.07,8,223.74102077937434,0.06439065506010515,1.1282384778217411
reg,0.1,8,234.21345016353334,0.05144763845106676,1.0371969549387177
reg,0.07,10,239.54588366067966,0.04095668062974512,1.0513055689842765
reg,0.09,10,246.01055124713665,0.02901628988551634,1.0563476503958464
reg,0.08,10,241.59371464549363,0.04207911642237447,0.9768683721967593
reg,0.1,10,250.54467845563434,0.024504650563423876,1.0
