;fid;FeaID;geometry_x;area_gen;n_vert_gen;perim_gen;compac_gen;elong_gen;round_gen;convex_gen;solid_gen;rect_gen;hole_gen;geometry_y;shape_similarity;diff_turning_f
0;1.0;15.0;POLYGON ((84426.93756371429 447293.1197991094, 84515.28185821087 447336.6185904545, 84536.69457593185 447277.4979421557, 84450.66747358542 447240.2650838373, 84426.93756371429 447293.1197991094));10675.721;11;422;0.755;0.828899174754909;0.770445998522526;0.989743395505304;0.981607801998306;0.841612871260671;0;POLYGON ((84331.42402050433 447206.207306363, 84336.76514902344 447196.9562003982, 84280.21028214988 447152.926014304, 84217.95970860447 447254.3714542588, 84296.15003086126 447305.2366251304, 84302.90712583141 447311.9937201006, 84313.15725618185 447289.1360633846, 84313.15695269936 447286.1015419519, 84319.25251005299 447275.5437269147, 84342.11955631366 447224.5505126176, 84331.42402050433 447206.207306363));0.0;2.367389500294334
1;2.0;17.0;POLYGON ((84294.47497050822 447369.5064992359, 84341.12594419326 447392.3790640038, 84398.3694805422 447260.841338553, 84356.88593609321 447239.9176209581, 84294.47497050822 447369.5064992359));2880.208;5;226;0.71;0.606775419761826;0.709891147587908;1.0;1.0;0.751268661767799;0;POLYGON ((84594.76540172029 447237.3259807272, 84579.16509814802 447283.7071025021, 84641.86511166309 447317.489390837, 84641.86017334647 447268.111162953, 84594.76540172029 447237.3259807272));0.0;0.29987550346983227
2;3.0;12.0;POLYGON ((84202.11719999999 447360.7814051289, 84243.98752673186 447389.4954695959, 84254.40593066784 447361.1921389031, 84202.11719999999 447326.1036485865, 84202.11719999999 447360.7814051289));4675.917;5;297;0.667;0.469942405587084;0.667430255910877;1.0;1.0;0.735971260515175;0;POLYGON ((84572.82169313943 447294.6753790081, 84555.76628214701 447338.4240592655, 84641.11563349377 447399.2139366136, 84641.10892385668 447332.1242752708, 84572.82169313943 447294.6753790081));0.0;0.2995984101891287
3;4.0;5.0;POLYGON ((84261.40120146067 447441.3539696922, 84314.31922385351 447467.0676566295, 84324.56743241551 447430.1741058063, 84334.44297884798 447406.1373984519, 84286.36956413898 447384.709326004, 84261.40120146067 447441.3539696922));3504.865;5;238;0.779;0.864190347628281;0.778969543784523;1.0;1.0;0.934154101016715;0;POLYGON ((84334.69457420189 447407.0604119879, 84287.02337467471 447383.5260689618, 84260.9906501168 447441.5293085444, 84311.99301418992 447466.9552008962, 84334.69457420189 447407.0604119879));99.83625727601378;0.960121684291044
4;5.0;31.0;POLYGON ((84533.87833215487 446999.3615264897, 84568.61600596916 446981.8537388872, 84541.10376830824 446956.2868109599, 84533.87833215487 446999.3615264897));853.768;4;134;0.598;0.733056680104681;0.598206022603855;1.0;1.0;0.499999999999553;0;POLYGON ((84540.49359460604 446953.6425316028, 84530.53921804707 447000.868023494, 84570.2651055922 446983.9369024785, 84540.49359460604 446953.6425316028));95.81795693654699;0.35718707619767953
5;6.0;23.0;POLYGON ((84489.10000159634 447146.6841854213, 84568.71099396447 447188.8848547282, 84572.13266985421 447179.5322739629, 84539.28458131263 447159.9146655283, 84493.662236116 447135.5067108481, 84489.10000159634 447146.6841854213));1568.393;5;294;0.228;0.113654198540249;0.228494249238515;1.0;1.0;0.740440891890224;0;POLYGON ((84487.64562558835 447149.217741714, 84610.50598608358 447208.6694144912, 84610.50598608358 447199.8941962457, 84494.37775061571 447135.2384596647, 84487.64562558835 447149.217741714));85.73817841962062;1.1496670461164018
6;7.0;21.0;POLYGON ((84456.64500977271 447227.8805571373, 84541.63226565829 447266.2081431249, 84564.40662834658 447201.2178886242, 84485.52956732859 447159.5574690725, 84485.52956732859 447159.5574690725, 84456.64500977271 447227.8805571373));6425.097;7;329;0.744;0.749341379821359;0.749844696544641;0.996216686922877;0.971438325932711;0.892598452133761;0;POLYGON ((84484.68335463518 447160.8647742098, 84456.05911773429 447228.5060579383, 84545.04054037783 447267.4337281827, 84545.03843707711 447246.4028243272, 84562.99911450845 447206.1075828027, 84562.99850200022 447199.9831130829, 84484.68335463518 447160.8647742098));99.56192858765604;1.154454977861525
7;8.0;26.0;POLYGON ((84420.84342989183 447097.3541258067, 84399.14774481385 447133.7361207836, 84382.79253606274 447181.4666279552, 84361.09685098476 447231.5335935198, 84401.81798297729 447249.8914808934, 84456.22408555748 447117.3809120325, 84420.84342989183 447097.3541258067));6355.711;7;370;0.585;0.308101073669396;0.584681910177922;1.0;1.0;0.961745628676971;0;POLYGON ((84410.80023714028 447111.3541054853, 84361.35512602045 447232.1471279046, 84400.86568769587 447250.6242224338, 84452.90320886481 447127.6452454638, 84452.90204900707 447116.0478278939, 84421.72908359791 447100.4252590277, 84410.80023714028 447111.3541054853));99.59381897782765;0.8606393552070033
8;9.0;11.0;POLYGON ((84271.91545184914 447331.4204827595, 84282.32930214997 447312.7541473147, 84219.64971260345 447271.8846970774, 84215.52347003143 447277.3863538402, 84211.59371520093 447274.6355254588, 84203.73420553992 447287.2107409164, 84271.91545184914 447331.4204827595));9386.883;6;386;0.791;0.951181962507665;0.791403121936338;1.0;1.0;0.939137863552714;0;POLYGON ((84420.55402158863 447307.4379496137, 84381.96624166801 447390.9326127754, 84472.72878725271 447438.8925795763, 84504.93394590057 447355.168489766, 84504.93306509481 447346.361312891, 84420.55402158863 447307.4379496137));0.0;1.039003640087359
9;10.0;8.0;POLYGON ((84363.0825535386 447434.5287428281, 84449.50794904548 447484.2465778778, 84465.53846595403 447454.7411337128, 84404.20431430396 447415.7103099354, 84376.09282813102 447402.003056347, 84363.0825535386 447434.5287428281));3610.835;7;268;0.631;0.370782312141898;0.631410637493436;0.999779493927482;0.995715276805291;0.877154768879845;0;POLYGON ((84375.49878203557 447401.2663991327, 84365.15065693264 447435.1599201798, 84451.1373281948 447482.4103149102, 84463.73986811738 447455.4313936793, 84440.89440618121 447435.1244680531, 84436.29535494534 447429.6761825364, 84375.49878203557 447401.2663991327));97.56459706280589;0.9839926915684434
